阿爾法	ā'ěrfǎ
阿尔法	ā'ěrfǎ
阿尔法粒子	ā'ěrfǎlìzǐ
阿爾法粒子	ā'ěrfǎlìzǐ
阿尔泰紫菀	ā'ěrtàizǐwǎn
阿爾泰紫菀	ā'ěrtàizǐwǎn
阿爸	ābà
阿兵哥	ābīnggē
阿布叔醇	ābùshūchún
阿弟	ādì
阿的平	ādìpíng
阿爹	ādiē
吖啶	ādìng
阿梵達	āfàndá
阿梵达	āfàndá
阿飞	āfēi
阿飛	āfēi
阿芙蓉	āfúróng
阿哥	āgē
阿公	āgōng
阿訇	āhōng
阿混	āhùn
阿拉	ālā
阿拉伯糖	ālābótáng
阿兰若	ālánrě
阿蘭若	ālánrě
阿利藤	ālìténg
阿列夫	ālièfū
阿羅漢	āluóhàn
阿罗汉	āluóhàn
阿妈	āmā
阿媽	āmā
阿貓阿狗	āmāo'āgǒu
阿猫阿狗	āmāo'āgǒu
阿妹	āmèi
阿門	āmén
阿门	āmén
阿们	āmen
阿們	āmen
阿米巴	āmǐbā
阿米巴病	āmǐbābìng
阿米巴痢疾	āmǐbālìji
阿米巴原蟲	āmǐbāyuánchóng
阿米巴原虫	āmǐbāyuánchóng
阿摩尼亞	āmóníyà
阿摩尼亚	āmóníyà
阿莫西林	āmòxīlín
阿木林	āmùlín
阿奶	ānǎi
阿囡	ānān
阿片	āpiàn
阿飄	āpiāo
阿飘	āpiāo
阿婆	āpó
阿普吐龍	āpǔtǔlóng
阿普吐龙	āpǔtǔlóng
阿奇霉素	āqíméisù
吖嗪	āqín
阿阇黎	āshélí
阿闍梨	āshélí
阿闍黎	āshélí
阿阇梨	āshélí
阿是穴	āshìxué
阿斯巴特	āsībātè
阿斯巴甜	āsībātián
阿斯匹灵	āsīpílíng
阿斯匹靈	āsīpílíng
阿斯匹林	āsīpǐlín
阿司匹林	āsīpǐlín
阿嚏	ātì
阿土	ātǔ
阿托品	ātuōpǐn
阿拖品化	ātuōpǐnhuà
阿魏	āwèi
阿物儿	āwùr
阿物兒	āwùr
阿昔洛韋	āxīluòwéi
阿昔洛韦	āxīluòwéi
錒系元素	āxìyuánsù
锕系元素	āxìyuánsù
阿仙药	āxiānyào
阿仙藥	āxiānyào
阿乡	āxiāng
阿鄉	āxiāng
阿兄	āxiōng
啊呀	āyā
阿亚图拉	āyàtúlā
阿亞圖拉	āyàtúlā
阿姨	āyí
啊喲	āyo
啊哟	āyo
阿育魏实	āyùwèishí
阿育魏實	āyùwèishí
阿月浑子实	āyuèhúnzǐshí
阿月渾子實	āyuèhúnzǐshí
阿月浑子树	āyuèhúnzǐshù
阿月渾子樹	āyuèhúnzǐshù
阿月渾子	āyuèhúnzi
阿月浑子	āyuèhúnzi
腌臢	āzā
腌臜	āzā
AA制	A'Azhì
A咖	Akā
A片	Apiàn
唉唉	āi'āi
哀而不伤	āi'érbùshāng
哀而不傷	āi'érbùshāng
挨邊	āibiān
挨边	āibiān
挨边儿	āibiānr
挨邊兒	āibiānr
哀兵必勝	āibīngbìshèng
哀兵必胜	āibīngbìshèng
挨不上	āibùshàng
挨擦	āicā
哀愁	āichóu
哀辞	āicí
哀辭	āicí
哀词	āicí
哀詞	āicí
挨次	āicì
哀悼	āidào
哀的美敦書	āidìměidūnshū
哀的美敦书	āidìměidūnshū
哀告	āigào
哀告賓服	āigàobīnfú
哀告宾服	āigàobīnfú
哀歌	āigē
挨個	āigè
挨个	āigè
挨個兒	āigèr
挨个儿	āigèr
哀嚎	āiháo
哀号	āiháo
哀號	āiháo
哀鴻遍野	āihóngbiànyě
哀鸿遍野	āihóngbiànyě
挨戶	āihù
挨户	āihù
挨戶，挨家	āihù, 'āijiā
挨户，挨家	āihù, 'āijiā
埃及豆	āijídòu
哀家	āijiā
挨家	āijiā
挨家挨戶	āijiā'āihù
挨家挨户	āijiā'āihù
挨肩儿	āijiānr
挨肩兒	āijiānr
娭姐	āijiě
唉姐	āijiě
哀矜	āijīn
挨近	āijìn
埃居	āijū
哀哭	āikū
哀哭切齿	āikūqièchǐ
哀哭切齒	āikūqièchǐ
埃蕾	āilěi
哀憐	āilián
哀怜	āilián
挨門	āimén
挨门	āimén
挨门，挨户	āimén, 'āihù
挨門，挨戶	āimén, 'āihù
哀憫	āimǐn
哀悯	āimǐn
哀鳴	āimíng
哀鸣	āimíng
哀莫大于心死	āimòdàyúxīnsǐ
哀莫大於心死	āimòdàyúxīnsǐ
哀戚	āiqī
哀啟	āiqǐ
哀启	āiqǐ
哀泣	āiqì
哀求	āiqiú
哀劝	āiquàn
哀勸	āiquàn
哀榮	āiróng
哀荣	āiróng
哀伤	āishāng
哀傷	āishāng
哀伤地	āishāngde
哀傷地	āishāngde
唉聲嘆氣	āishēngtànqì
唉声叹气	āishēngtànqì
哀失	āishī
哀思	āisī
埃斯库多	āisīkùduō
埃斯庫多	āisīkùduō
哀嘆	āitàn
哀叹	āitàn
哀慟	āitòng
哀恸	āitòng
哀痛	āitòng
哀婉	āiwǎn
哎呀	āiyā
哀艷	āiyàn
哀艳	āiyàn
哎哟	āiyō
哎喲	āiyō
哎唷	āiyō
哀怨	āiyuàn
哀乐	āiyuè
哀樂	āiyuè
挨著	āizhe
挨着	āizhe
哀子	āizǐ
皑皑	ái'ái
皚皚	ái'ái
挨餓	ái'è
挨饿	ái'è
挨板子	áibǎnzi
癌变	áibiàn
癌變	áibiàn
挨呲兒	áicīr
挨呲儿	áicīr
挨打	áidǎ
挨打受骂	áidǎshòumà
挨打受罵	áidǎshòumà
挨打受气	áidǎshòuqì
挨打受氣	áidǎshòuqì
挨鬥	áidòu
挨斗	áidòu
挨飢抵餓	áijīdǐ'è
挨饥抵饿	áijīdǐ'è
挨挤	áijǐ
挨擠	áijǐ
挨克	áikēi
挨剋	áikēi
挨骂	áimà
挨罵	áimà
挨批	áipī
挨時間	áishíjiān
挨时间	áishíjiān
挨頭子	áitóuzi
挨头子	áitóuzi
癌細胞	áixìbāo
癌细胞	áixìbāo
挨延	áiyán
捱延	áiyán
挨宰	áizǎi
挨整	áizhěng
癌症	áizhèng
挨揍	áizòu
藹藹	ǎi'ǎi
靄靄	ǎi'ǎi
蔼蔼	ǎi'ǎi
霭霭	ǎi'ǎi
矮半截	ǎibànjié
矮醜窮	ǎichǒuqióng
矮丑穷	ǎichǒuqióng
矮呆病	ǎidāibìng
矮凳	ǎidèng
靄滴	ǎidī
霭滴	ǎidī
矮地茶	ǎidìchá
矮墩墩	ǎidūndūn
矮杆品种	ǎigǎnpǐnzhǒng
矮桿品種	ǎigǎnpǐnzhǒng
矮个儿	ǎigèr
矮個兒	ǎigèr
矮瓜	ǎiguā
矮黑人	ǎihēirén
矮化	ǎihuà
矮脚白花蛇利草	ǎijiǎobáihuāshélìcǎo
矮腳白花蛇利草	ǎijiǎobáihuāshélìcǎo
矮脚苦蒿	ǎijiǎokǔhāo
矮腳苦蒿	ǎijiǎokǔhāo
矮腳羅傘	ǎijiǎoluósǎn
矮脚罗伞	ǎijiǎoluósǎn
矮莖朱砂根	ǎijīngzhūshāgēn
矮茎朱砂根	ǎijīngzhūshāgēn
矮林	ǎilín
矮鹿	ǎilù
矮胖	ǎipàng
藹然	ǎirán
蔼然	ǎirán
矮人	ǎirén
矮樹	ǎishù
矮树	ǎishù
矮小	ǎixiǎo
矮小精悍	ǎixiǎojīnghàn
矮星	ǎixīng
矮行星	ǎixíngxīng
矮杨梅	ǎiyángméi
矮楊梅	ǎiyángméi
矮壯素	ǎizhuàngsù
矮壮素	ǎizhuàngsù
矮子	ǎizi
矮子里拔将军	ǎizilibájiāngjūn
矮子裡拔將軍	ǎizilibájiāngjūn
靉靉	ài'ài
叆叆	ài'ài
爱爱	ài'ai
愛愛	ài'ai
愛別離苦	àibiélíkǔ
爱别离苦	àibiélíkǔ
愛不忍釋	àibùrěnshì
爱不忍释	àibùrěnshì
爱不释手	àibùshìshǒu
愛不釋手	àibùshìshǒu
愛財	àicái
爱财	àicái
愛財如命	àicáirúmìng
爱财如命	àicáirúmìng
艾草	àicǎo
爱称	àichēng
愛稱	àichēng
靉靆	àidài
叆叇	àidài
爱戴	àidài
愛戴	àidài
愛得死去活來	àidesǐqùhuólái
爱得死去活来	àidesǐqùhuólái
艾冬花	àidōnghuā
爱疯	àiFēng
愛瘋	àiFēng
噯腐	àifǔ
爱抚	àifǔ
愛撫	àifǔ
嗳腐	àifǔ
噯腐吞酸	àifǔtūnsuān
嗳腐吞酸	àifǔtūnsuān
愛崗敬業	àigǎngjìngyè
爱岗敬业	àigǎngjìngyè
隘谷	àigǔ
愛國	àiguó
爱国	àiguó
爱国如家	àiguórújiā
愛國如家	àiguórújiā
愛國者	àiguózhě
爱国者	àiguózhě
愛國主義	àiguózhǔyì
爱国主义	àiguózhǔyì
艾蒿	àihāo
爱好	àihào
愛好	àihào
愛好者	àihàozhě
爱好者	àihàozhě
愛河	àihé
爱河	àihé
愛護	àihù
爱护	àihù
爱将	àijiàng
愛將	àijiàng
艾灸	àijiǔ
艾卷	àijuǎn
愛克斯光	àikèsīguāng
爱克斯光	àikèsīguāng
愛克斯射線	àikèsīshèxiàn
爱克斯射线	àikèsīshèxiàn
隘口	àikǒu
碍口	àikǒu
礙口	àikǒu
碍口识羞	àikǒushíxiū
礙口識羞	àikǒushíxiū
爱理不理	àilǐbùlǐ
愛理不理	àilǐbùlǐ
爱怜	àilián
愛憐	àilián
爱恋	àiliàn
愛戀	àiliàn
隘路	àilù
爱侣	àilǚ
愛侶	àilǚ
爱美	àiměi
愛美	àiměi
暧昧	àimèi
曖昧	àimèi
暧昧关系	àimèiguānxì
曖昧關係	àimèiguānxì
礙面子	àimiànzi
爱面子	àimiànzi
愛面子	àimiànzi
碍面子	àimiànzi
爱民如子	àimínrúzǐ
愛民如子	àimínrúzǐ
愛莫能助	àimònéngzhù
爱莫能助	àimònéngzhù
爱慕	àimù
愛慕	àimù
爱慕虚荣	àimùxūróng
愛慕虛榮	àimùxūróng
艾纳香	àinàxiāng
艾納香	àinàxiāng
碍难	àinán
礙難	àinán
碍难从命	àináncóngmìng
礙難從命	àináncóngmìng
爱能移山	àinéngyíshān
愛能移山	àinéngyíshān
爱昵	àinì
愛昵	àinì
艾片	àipiàn
爱漂亮	àipiàoliang
愛漂亮	àipiàoliang
艾扑西龙	àipūxīlóng
艾撲西龍	àipūxīlóng
噯氣	àiqì
嗳气	àiqì
噯氣嘔逆	àiqì'ǒunì
嗳气呕逆	àiqì'ǒunì
噯氣腐臭	àiqìfǔchòu
嗳气腐臭	àiqìfǔchòu
嗳气酸腐	àiqìsuānfǔ
噯氣酸腐	àiqìsuānfǔ
噯氣吞酸	àiqìtūnsuān
嗳气吞酸	àiqìtūnsuān
愛情	àiqíng
爱情	àiqíng
愛情片	àiqíngpiàn
爱情片	àiqíngpiàn
爱情喜剧	àiqíngxǐjù
愛情喜劇	àiqíngxǐjù
愛情征服一切	àiqíngzhēngfúyīqiè
爱情征服一切	àiqíngzhēngfúyīqiè
爱犬	àiquǎn
愛犬	àiquǎn
爱人如己	àirénrújǐ
愛人如己	àirénrújǐ
爱人	àiren
愛人	àiren
艾绒	àiróng
艾絨	àiróng
愛上	àishàng
爱上	àishàng
愛誰誰	àishéishéi
爱谁谁	àishéishéi
爱神	àishén
愛神	àishén
艾实	àishí
艾實	àishí
碍事	àishì
礙事	àishì
礙手礙腳	àishǒu'àijiǎo
碍手碍脚	àishǒu'àijiǎo
愛死病	àisǐbìng
爱死病	àisǐbìng
噯酸	àisuān
嗳酸	àisuān
艾塔	àitǎ
艾炭	àitàn
艾條	àitiáo
艾条	àitiáo
艾条灸	àitiáojiǔ
艾條灸	àitiáojiǔ
艾条雀啄灸	àitiáoquèzhuójiǔ
艾條雀啄灸	àitiáoquèzhuójiǔ
艾条温和灸	àitiáowēnhéjiǔ
艾條溫和灸	àitiáowēnhéjiǔ
碍胃口	àiwèikǒu
礙胃口	àiwèikǒu
爱窝窝	àiwōwo
艾窩窩	àiwōwo
愛窩窩	àiwōwo
艾窝窝	àiwōwo
爱屋及鸟	àiwūjíniǎo
愛屋及鳥	àiwūjíniǎo
爱屋及乌	àiwūjíwū
愛屋及烏	àiwūjíwū
爱惜	àixī
愛惜	àixī
爱现	àixiàn
愛現	àixiàn
爱心	àixīn
愛心	àixīn
碍眼	àiyǎn
礙眼	àiyǎn
艾葉	àiyè
艾叶	àiyè
艾葉炭	àiyètàn
艾叶炭	àiyètàn
艾葉油	àiyèyóu
艾叶油	àiyèyóu
爱意	àiyì
愛意	àiyì
爱游玩	àiyóuwán
愛遊玩	àiyóuwán
愛玉子	àiyùzǐ
爱玉子	àiyùzǐ
爱乐	àiyuè
愛樂	àiyuè
爱乐乐团	àiyuèyuètuán
愛樂樂團	àiyuèyuètuán
爱憎	àizēng
愛憎	àizēng
爱憎分明	àizēngfēnmíng
愛憎分明	àizēngfēnmíng
爱之如命	àizhīrúmìng
愛之如命	àizhīrúmìng
艾炷	àizhù
艾炷灸	àizhùjiǔ
艾滋	àizī
爱滋	àizī
愛滋	àizī
艾兹病	àizībìng
